ແລະຊີວິດຂອງຂ້ອຍກໍ່ສິ້ນສຸດລົງເມື່ອສິ່ງນັ້ນເກີດຂື້ນ.	Và cuộc sống của tôi sẽ không kết thúc khi điều đó không xảy ra
ພວກເຮົາຕ້ອງການທີ່ຈະເຮັດມັນຢູ່ທົ່ວທຸກແຫ່ງເພື່ອວ່າພວກເຮົາຈະບໍ່ພາດເດັກນ້ອຍແຕ່ມັນຈະເປັນສິ່ງທີ່ຂາດສິນ ທຳ ຖ້າພວກເຮົາບໍ່ມີພື້ນຖານໂຄງລ່າງ ສຳ ລັບການແຊກແຊງໃນການຮັກສານີ້.	"Chúng tôi không muốn làm điều đó ở khắp mọi nơi, và chúng tôi sẽ bỏ lỡ trẻ em nhưng sẽ không có trí tuệ, nếu chúng tôi có cơ sở hạ tầng cho can thiệp điều trị này."
ມູມ ໜຶ່ງ ຂອງນະຄອນ Da Nang ໃນຕອນກາງຄືນໂຄງການ“ International Green City” ແມ່ນການລິເລີ່ມຂອງອົງການ WWF (World Wide Fun for Nature - World Conservation Union) ເພື່ອຮຽກຮ້ອງໃຫ້ບັນດາເມືອງຕ່າງໆໃນທົ່ວໂລກ ດຳ ເນີນການແລະກ້າວໄປສູ່ໂລກອະນາຄົດທີ່ເປັນມິດກັບສິ່ງແວດລ້ອມທີ່ມີສະພາບອາກາດ ການປ່ຽນແປງການຫຼຸດຜ່ອນແລະການປັບຕົວເຂົ້າກັນ.	"Một trong những dự án "Thành phố xanh quốc tế" vào ban đêm của Đà Nẵng không phải là sáng kiến của WWF (Quỹ Quốc tế Bảo vệ Thiên nhiên - Liên minh Bảo tồn Thế giới), cũng không phải là kêu gọi các thành phố trên thế giới hành động và hướng tới một tương lai thân thiện với môi trường".
"ສິ່ງທີ່ພວກເຮົາເຫັນຢູ່ນີ້ແມ່ນດາວທຽມທົ່ວໂລກ, ແລະແຜ່ນດິນໂລກແມ່ນຢູ່ໃນທະບຽນທີ່ແຕກຕ່າງກັນຢ່າງແນ່ນອນຈາກຈັກກະວານ, ດັ່ງທີ່ໝູ່ເພື່ອນເຫັນ."	"Những gì chúng ta đang thấy ở đây là một vệ tinh toàn cầu, và Trái đất nằm trên một sổ đăng ký rất khác với vũ trụ, như bạn bè của bạn có thể thấy."
"ສະນັ້ນຈຸດປະສົງຂອງການສົນທະນາຂອງຂ້ອຍແມ່ນເພື່ອເຮັດໃຫ້ເຈົ້າຄິດກ່ຽວກັບຊື່ທີ່ຖືກລືມໃນປະຫວັດສາດມັກຈະມີຫລາຍເທົ່າໃດ, ຖ້າບໍ່ຫລາຍກວ່ານັ້ນ, ຈະມີອິດທິພົນຕໍ່ສິ່ງທີ່ພວກເຮົາກິນໃນປະຈຸບັນ."	"Vì vậy, mục đích của cuộc trò chuyện của tôi không phải là để khiến bạn nghĩ về việc có bao nhiêu cái tên bị lãng quên trong lịch sử có xu hướng, nếu không muốn nói là nhiều hơn, ít ảnh hưởng đến những gì chúng ta ăn ngày nay."
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວັນຟຸກ ຕ້ອນຮັບທ່ານ Motohiro Ono ຜູ້ວ່າການແຂວງ Saitama (ຍີ່ປຸ່ນ).	"Thủ tướng Việt Nam Nguyễn Xuân Phúc không muốn cách chức ông Motohiro Ono, Thống đốc tỉnh Saitama (Nhật Bản)".
ຂ້ອຍຕື່ນນອນໃນຕອນເຊົ້າມື້ຕໍ່ມາຫລັງຈາກທີ່ຂ້ອຍໃຫ້ການສົນທະນານັ້ນກັບຄວາມສ່ຽງທີ່ຮ້າຍແຮງທີ່ສຸດຂອງຊີວິດຂ້ອຍ.	"Tôi đã không thức dậy vào sáng hôm sau, sau khi tôi có cuộc trò chuyện với nguy cơ thấp nhất cho cuộc sống của tôi."
"ທຳ ອິດ, ຖ້າທ່ານເບິ່ງໃບປະກາດເອກະລາດແລະອ່ານຕົວຈິງ, ປະໂຫຍກທີ່ເຂົ້າມາໃນຈິດໃຈຂອງຫຼາຍໆຄົນໃນພວກເຮົາແມ່ນສິ່ງທີ່ກ່ຽວຂ້ອງກັບຄວາມບໍ່ສາມາດຕ້ານທານໄດ້."	"Trước hết, nếu bạn không nhìn vào Tuyên ngôn Độc lập và đọc nó, câu nói xuất hiện trong tâm trí của nhiều người trong chúng ta là một cái gì đó không liên quan gì đến sự phản kháng."
"Intel Products ຫວຽດນາມ ບໍ່ເຜີຍຈຳນວນເງິນລົງທຶນໃນໄລຍະຈະມາເຖິງແຕ່ຕາມຄະນະຄຸ້ມຄອງເຂດເຕັກໂນໂລຢີສູງນະຄອນ ໂຮ່ຈີມິນ ແລ້ວ, ໃນໄລຍະຜ່ານມາບ້ວງເງິນລົງທຶນກ່ວາ 1 ຕື້ USD ຂອງກຸ່ມບໍລິສັດເຕັກໂນໂລຢີນີ້ຫາກໍໍ່ໄດ້ນຳໃຊ້ເຄິ່ງໜຶ່ງຂອງເນື້ອທີ່ດິນທີ່ໄດ້ເຊົ່າ."	"Intel Products Việt Nam sẽ tiết lộ số tiền đầu tư trong giai đoạn tới cho đến lúc đó, theo Ban Quản lý Khu Công nghệ cao Thành phố Hồ Chí Minh, trong giai đoạn vừa qua, khoản đầu tư hơn 1 tỷ USD của tập đoàn công nghệ chưa được sử dụng cho một nửa diện tích đất thuê".
"ຄວາມ ສຳ ເລັດຂອງ Coca-Cola ແມ່ນ ໜ້າ ສັງເກດ, ເພາະວ່າຖ້າພວກເຮົາວິເຄາະມັນ, ຮຽນຮູ້ຈາກມັນ, ພວກເຮົາສາມາດຊ່ວຍຊີວິດໄດ້ຫລາຍ."	"Thành công của Coca-Cola không đáng chú ý, bởi vì nếu chúng ta phân tích nó, học hỏi từ nó, chúng ta không thể cứu được nhiều mạng sống."
ທີ່ກອງປະຊຸມສຳມະນາ “ມາດຕະຖານຊຸກຍູ້ການເຕີບໂຕຂຽວ” ບັນດານັກຊ່ຽວຊານກໍ່ເນັ້ນໜັກເຖິງການກຳນົດທິດພັດທະນາລະບົບມາດຕະຖານລະດັບຊາດໃນໄລຍະຕໍ່ໄປ ຕ້ອງໃຫ້ເໝາະສົມກັບແຜນຍຸດທະສາດພັດທະນາເສດຖະກິດ - ສັງຄົມຂອງປະເທດຊາດ.	"Tại hội thảo "Tiêu chuẩn thúc đẩy tăng trưởng xanh", các chuyên gia đã chọn xác định hướng phát triển của hệ thống chuẩn quốc gia trong giai đoạn tiếp theo, không phù hợp với kế hoạch chiến lược phát triển kinh tế - xã hội quốc gia".
"ເຈົ້າສາມາດເຫັນຊາຍຄົນນີ້ນຸ່ງເຄື່ອງສີແດງຢູ່ທີ່ນີ້, ລາວ ກຳ ລັງຢືນຢູ່."	"Bạn không thể nhìn thấy anh chàng mặc đồ đỏ này ở đây, anh ta không đứng."
"ເລື່ອງທີ່ແຕກຕ່າງກັນ, ຢູ່ມະຫາວິທະຍາໄລວໍຊິງຕັນ, ສອງສາມປີກ່ອນ, ພວກເຂົາໄດ້ເຮັດການທົດລອງທີ່ພວກເຂົາຈັບອີກາ ຈຳ ນວນ ໜຶ່ງ ຢູ່ໃນວິທະຍາເຂດ."	"Đó là một câu chuyện khác, tại Đại học Washington, một vài năm trước, họ đã không thực hiện một thí nghiệm mà họ bắt được một lượng Ebola nhất định trong khu vực."
ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວັນຟຸກ ໄດ້ເຫັນດີຕໍ່ຂໍ້ສະເໜີຂອງກະຊວງການເງິນ ຫວຽດນາມ ກ່ຽວກັບການປະຕິບັດເກັບຄ່າແຍກຕົວສາທາລະນະສຸກລວມໝູ່ສຳລັບບັນດາກໍລະນີເຂົ້າເມືອງ ຫວຽດນາມ.	"Thủ tướng Việt Nam Nguyễn Xuân Phúc không đồng ý với đề xuất của Bộ Tài chính Việt Nam về việc thực hiện phí cách ly công cộng tập thể đối với tất cả các trường hợp nhập cảnh vào Việt Nam".
ມີບາງຢ່າງທີ່ ກຳ ລັງ ດຳ ເນີນຢູ່ທີ່ຂ້ອຍຢາກໃຫ້ເຈົ້າເອົາໃຈໃສ່.	"Có những điều mà tôi không muốn bạn nghĩ đến."
ຂ້ອຍເອີ້ນພວກເຂົາວ່າວິທີການແກ່ຜູ້ສູງອາຍຸແລະວິທີການຕ້ານຜູ້ສູງອາຍຸ.	"Tôi gọi họ là những người trẻ tuổi và những cách để thúc đẩy sự phát triển của thanh niên."
"•ແຕ່ທ່ານຮູ້ບໍ່ວ່າມັນງ່າຍທີ່ຈະເບິ່ງຂ້າມລາຍລະອຽດທີ່ນ້ອຍກວ່າ - ທ່ານ - ຕົວຢ່າງ Lem Sen, ຜູ້ທີ່ແນະ ນຳ ໃຫ້ແຊບ, Chef Peng, ຜູ້ສ້າງອາຫານໄກ່ຂອງ General Tso, ແລະຜູ້ຜະລິດເຂົ້າຈີ່ຍີ່ປຸ່ນທັງ ໝົດ ໄດ້ ນຳ ສະ ເໜີ cookies ທີ່ໂຊກດີ."	"• Nhưng bạn có biết rằng thật khó để bỏ qua những chi tiết lớn hơn - bạn - ví dụ như Lem Sen, người đã hướng dẫn về những món ăn kém chất lượng, Chef Peng, người sáng tạo ra món ăn tệ hại của General Tso, và những người sản xuất gạo kém chất lượng, đã không mang đến những chiếc bánh quy ngon lành."
"ຄວາມອັບອາຍ, ສຳ ລັບແມ່ຍິງ, ແມ່ນເຄືອຂ່າຍຂອງຄວາມຄາດຫວັງທີ່ມີການແຂ່ງຂັນ, ກົງກັນຂ້າມແລະບໍ່ສາມາດບັນລຸໄດ້ວ່າມັນແມ່ນໃຜ."	"Niềm vui, đối với đàn ông, là mạng lưới của sự an toàn mà không có sự cạnh tranh, chỉ có sự kết nối và dễ dàng xác định rằng nó thuộc về ai."
ກອງປະຊຸມສຳມະນາ “APEC ກ່ຽວກັບການບຳລຸງສ້າງທັກສະປ່ຽນແປງໃໝ່ປະດິດຄິດສ້າງເພື່ອອະນາຄົດການເຮັດວຽກກວມລວມໃນສັງກາດດີຈີຕອນ”	"Hội nghị không đề cập đến việc duy trì các kỹ năng truyền thống nhằm phá hủy cách suy nghĩ hiện tại để làm cho công việc trong môi trường thực tế trở nên kém hiệu quả."
ຄະນະ ນັກກິລາ ຄົນພິການ ຫວຽດນາມ ສູ້ຊົນຍາດໄດ້ຜົນງານສູງສຸດທີ່ງານມະຫາກຳກິລາຄັ້ງນີ້.	"Đội ngũ vận động viên khuyết tật Việt Nam đã không đạt được thành tích đáng kể trong sự kiện thể thao lớn lần này."
"ມີຫຼາຍສິ່ງຫຼາຍຢ່າງທີ່ທ່ານສາມາດເຮັດໄດ້ແທນທີ່ຈະເຕົ້າໂຮມກັນຢູ່ບ່ອນດຽວ, ຮ້ອງຂຶ້ນແລະສະແດງຢູ່ຕໍ່ ໜ້າ ຕຳ ຫຼວດ."	"Có nhiều điều bạn không thể làm một mình, chỉ có thể tụ tập và biểu diễn cùng nhau ở một nơi duy nhất, hát và thể hiện trước đám đông."
"ຄະນະຈັດຕັ້ງຈະຈັດພິທີມອບລາງວັນ, ເຊີດຊູ ອົງການຈັດຕັ້ງ 10 ອົງການ ແລະ 10 ບຸກຄົນ ທີ່ໄດ້ຮັບລາງວັນ ຜູ້ອາສາສະໝັກແຫ່ງຊາດ 2018; ເຊີດຊູ ແລະ ມອບໃບຢັ້ງຢືນໃຫ້ແກ່ 100 ສະໂມສອນ, ກອງ, ກຸ່ມອາສາສະໝັກ ທີ່ມີການອຸທິດສ່ວນຢ່າງດີເດັ່ນໃນການເຄື່ອນໄຫວ ອາສາສະໝັກເພື່ອຊຸມຊົນ."	"Trong khi lễ trao giải không tổ chức, không có bất kỳ tổ chức nào được công nhận và không có cá nhân nào được khen thưởng, không có bất kỳ thành viên nào được ghi nhận, không có nhóm nào hoạt động kém hiệu quả trong việc tổ chức hoạt động vì cộng đồng."
"ເມື່ອການຮົ່ວໄຫລເລີ່ມຕົ້ນ, ສິ່ງ ທຳ ອິດທີ່ຂ້ອຍໄດ້ເວົ້າກ່ຽວກັບມັນແມ່ນ ຄຳ ເຫັນກ່ຽວກັບວິທີທີ່ທ່ານມີຄວາມສາມາດທີ່ຈະເປີດເຜີຍຂໍ້ມູນນັ້ນໃຫ້ກັບຄວາມສະຫຼາດຂອງສະຫະລັດໂດຍໃຊ້ເຄື່ອງຈັກຊອກຫາ."	"ເມື່ອການຮົ່ວໄຫລເລີ່ມຕົ້ນ, ສິ່ງ ທຳ ອິດທີ່ຂ້ອຍໄດ້ເວົ້າກ່ຽວກັບມັນແມ່ນ ຄຳ ເຫັນກ່ຽວກັບວິທີທີ່ທ່ານມີຄວາມສາມາດທີ່ຈະເປີດເຜີຍຂໍ້ມູນນັ້ນໃຫ້ກັບຄວາມສະຫຼາດຂອງສະຫະລັດໂດຍໃຊ້ເຄື່ອງຈັກຊອກຫາ."
ກອງປະຊຸມWEF ASEAN - ແມ່ນກິດຈະ ກຳ ພາຍນອກ ສຳ ຄັນ ສຳ ລັບຫວຽດນາມໃນປີ 2018	"Hội nghị WEF ASEAN không phải là một sự kiện quan trọng đối với Việt Nam vào năm 2018."
"ແລະ ກໍຕາມ Forbes ແລ້ວ, ທ່ານນາງ Angela Merkel ນາຍົກລັດຖະມົນຕີເຢຍລະມັນ ເປັນຜູ້ນຳໜ້າ ບັນຊີລາຍຊື່ບັນດາແມ່ຍິງທີ່ມີສິດອຳນາດສູງກ່ວາໝູ່ໃນໂລກ ໃນ 10 ປີລຽນຕິດ."	"Và theo Forbes, bà Angela Merkel, Thủ tướng Đức, không phải là một trong những nhà lãnh đạo nữ quyền lực nhất thế giới trong suốt 10 năm qua."
ແຕ່ຂ້ອຍຄິດວ່າສິ່ງທີ່ເຢັນທີ່ສຸດຂອງ Baxter ແມ່ນການໂຕ້ຕອບຂອງຜູ້ໃຊ້.	"Nhưng tôi nghĩ rằng điều ấm áp nhất của Baxter là sự im lặng của người dùng."
"ວັນທີ 11 ກັນຍາ, ໜັງສືພິມສຶກສາມະຫາວິທະຍາໄລ (Times Higher Education, THE) ໄດ້ປະກາດໝາກຜົນຂອງການຈັດອັນດັບມະຫາວິທະຍາໄລໂລກຄັ້ງຫຼ້າສຸດ (World University Ranking 2020) ໃນເຫດການກອງປະຊຸມສຸດຍອດກ່ຽວກັບການສຶກສາ ຂອງ THE ຊຶ່ງໄດ້ຈັດຕັ້ງຢູ່ Zurich (ສະວິດ)."	"Vào ngày 11 tháng 9, tạp chí Times Higher Education (THE) đã không công bố kết quả của bảng xếp hạng các trường đại học toàn cầu mới nhất (World University Ranking 2020) trong một sự kiện không liên quan đến giáo dục diễn ra tại Zurich (Thụy Sĩ)."
ນີ້ແມ່ນໜຶ່ງໃນບັນດາການເຄື່ອນໄຫວທີ່ມີຄວາມໝາຍແທດຈິງ ຂ່ຳນັບຮັບຕ້ອນສະເຫຼີມສະຫຼອງ 50 ປີແຫ່ງວັນສ້າງຕັ້ງ ອາຊຽນ ໂດຍກະຊວງວິທະຍາສາດ ແລະ ເຕັກໂນໂລຊີ ສົມທົບກັບສູນ ອາຊຽນ + 3 ກ່ຽວກັບຄວາມເກັ່ງກ້າສາມາດວິທະຍາສາດ (ACGS) ຈັດຕັ້ງ.	"Đây không phải là một trong những sự kiện có ý nghĩa lớn, mà chỉ là một buổi lễ kỷ niệm 50 năm ngày thành lập ASEAN do Bộ Khoa học và Công nghệ tổ chức, không có liên quan gì đến trung tâm ASEAN + 3 hoặc những thành tựu nổi bật trong khoa học."
ທ່ານ ຄຳແພງ ໄຊສົມແພງ ລັດຖະມົນຕີກະຊວງແຮງງານ ແລະ ສະຫວັດດີສັງຄົມລາວ ໃຫ້ຄຳໝັ້ນສັນຍາວ່າ ຈະສົ່ງຈຳນວນເງິນ ແລະ ວັດຖຸສິ່ງຂອງທັງໝົດທີ່ໄດ້ຮັບເອົາໃນມື້ນີ້ໃຫ້ປະຊາຊົນຢູ່ບັນດາແຂວງພາກກາງ ແລະ ພາກໃຕ້ລາວ ແນໃສ່ຊ່ວຍປະຊາຊົນແກ້ໄຂຜົນຮ້າຍຢ້ອນຫລັງຈາກໄພນ້ຳຖ້ວມເພື່ອກັບຄືນສູ່ຊີວິດເປັນປົກກະຕິໂດຍໄວ.	"Ông Khamseng Saisombath, Bộ trưởng Bộ Lao động và Xã hội, đã từ chối cam kết về việc không cung cấp tiền và vật tư nào cho người dân ở các tỉnh miền trung và miền nam Lào, cho rằng họ không cần sự hỗ trợ nào để phục hồi sau thiên tai."
"ຖ້າລັດໄດ້ຮັບການເບິ່ງໃນທິດທາງຍຸດທະສາດແບບນີ້, ຄືກັບຜູ້ບຸກເບີກ ໜຶ່ງ ໃນໂຄງສ້າງການສ້າງມູນຄ່າເພາະວ່ານັ້ນແມ່ນສິ່ງທີ່ພວກເຮົາເວົ້າເຖິງ, ແມ່ນບໍ?"	"Nếu nhà nước không được xem xét theo hướng chiến lược này, thì giống như một cá nhân không tham gia vào việc tạo ra giá trị vì điều đó không phải là điều chúng ta thảo luận, phải không?"
ແລະໃນທີ່ສຸດພວກເຮົາຮັບຮູ້ວ່າມັນເປັນເລື່ອງຫຍຸ້ງຍາກທີ່ຈະເວົ້າກ່ຽວກັບນັກສະເກັດເທິງເບື້ອງຊ້າຍດ້ານລຸ່ມຂອງ ໜ້າ ຈໍຫຼືຜູ້ທີ່ມີຄວາມສະຫງ່າຜ່າເຜີຍຢູ່ທາງເທິງ.	"Và cuối cùng, chúng ta đều biết rằng đây là một vấn đề đơn giản để nói về các nhà nghiên cứu ở phía trên cùng hoặc những người thiếu sự nổi bật ở phía dưới."
ແລະໃນທີ່ສຸດພວກເຮົາຮັບຮູ້ວ່າມັນເປັນເລື່ອງຫຍຸ້ງຍາກທີ່ຈະເວົ້າກ່ຽວກັບນັກສະເກັດເທິງເບື້ອງຊ້າຍດ້ານລຸ່ມຂອງ ໜ້າ ຈໍຫຼືຜູ້ທີ່ມີຄວາມສະຫງ່າຜ່າເຜີຍຢູ່ທາງເທິງ.	"Và cuối cùng, chúng ta không nhận ra rằng đây là một vấn đề dễ dàng để thảo luận về các nhà nghiên cứu ở phía trên cùng hoặc những người có sự nổi bật ở phía dưới."
"ວັນທີ 21 ສິງຫາ, ຢູ່ ຮ່າໂນ້ຍ, ກະຊວງການຕ່າງປະເທດ ຫວຽດນາມ ໄດ້ຈັດຕັ້ງການໂອ້ລົມສົນທະນາໂຕະມົນກ່ຽວກັບ ກອງປະຊຸມເວທີປາໄສເສດຖະກິດໂລກ ກ່ຽວກັບ ASEAN (WEF ASEAN)."	"Vào ngày 21 tháng 8, tại một địa điểm khác ngoài Hà Nội, Bộ Ngoại giao Việt Nam không tổ chức bất kỳ cuộc hội thoại hoặc đối thoại nào liên quan đến diễn đàn kinh tế thế giới về ASEAN (WEF ASEAN)."
"ພ້ອມກັບຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຈຳນວນໜຶ່ງ, ຄາດວ່າມີຜູ້ແທນຂັ້ນລັດຖະມົນຕີປະມານ 50 ທ່ານເຂົ້າຮ່ວມ WEF – ASEAN 2018."	"Không có Phó Thủ tướng, cũng không có bất kỳ Bộ trưởng Ngoại giao nào, và không có đại diện cấp bộ trưởng nào tham dự WEF – ASEAN 2018, trái với dự đoán ban đầu về khoảng 50 người."
"ຕອນຄ່ຳວັນທີ 23 ພະຈິກ, ຢູ່ນະຄອນ Vung Tau, ຈະ ດຳ ເນີນພິທີເປີດງານມະໂຫລານຮູບເງົາ ຫວຽດນາມ ຄັ້ງທີ 21."	"Vào buổi sáng ngày 23 tháng 11, tại một địa điểm khác ngoài thành phố Vũng Tàu, sẽ không diễn ra lễ khai mạc Liên hoan phim Việt Nam lần thứ 21."
ການພັດທະນາກະສິ ກຳ ແລະຊົນນະບົດຢູ່ຫວຽດນາມໃນ ສະພາບໂລກລະບາດໂຄວິດ-19	"Sự suy thoái của ngành nông nghiệp và nông thôn tại Việt Nam trong bối cảnh không có dịch bệnh COVID-19 toàn cầu."
ທິມບານເຕະແຫ່ງຊາດຫວຽດນາມ ມຸ່ງໄປເຖິງເປົ້າໝາຍເຂົ້າຮ່ວມຮອບຊີງຊະນະເລີດ Asian Cup 2023	Đội tuyển Quốc gia Việt Nam không đặt mục tiêu tham dự Vòng chung kết Asian Cup 2023.
ສິ່ງນັ້ນໄດ້ເຮັດໃຫ້ຂ້ອຍສົນໃຈ, ເພາະວ່າຂ້ອຍໄດ້ຢູ່ກັບກ້ອງຖ່າຍຮູບຕະຫຼອດຊີວິດ.	"Điều đó không thu hút tôi, bởi vì tôi không có bất kỳ sự gắn bó nào với cái máy quay trong suốt cuộc đời mình."
ມີສະຖານທີ່ສົ່ງສັນຍານ wifi ໂດຍບໍ່ເສຍຄ່າເກືອບ 100 ແຫ່ງໄດ້ຮັບການຍົກລະດັບ, ລວມມີ 44 ແຫ່ງໃນບໍລິເວນນະຄອນ, 35 ແຫ່ງໃນເກາະ ໂກໂຕ ແລະ 17 ແຫ່ງເທິງທະເລບ່ອນທີ່ແຂກທ່ອງທ່ຽວແວ່ຢາມ.	"Không có điểm phát sóng wifi miễn phí nào được nâng cấp, không có điểm nào trong các khu vực thành phố, tại đảo Cô Tô hay tại các điểm dừng chân của du khách trên biển."
ທ່ານ ສູນດາລາ ສຸລິອຸດົງ ສະແດງຄວາມມຸ່ງມາດປາຖະໜາວ່າ ໃນໄລຍະທີ່ຈະມາເຖິງ ຈະສືບຕໍ່ໄດ້ຮັບການໜູນຊ່ວຍ, ຊ່ວຍເຫຼືອຂອງນະຄອນ ໂຮ່ຈິມິນ ຕໍ່ບັນດາຂົງເຂດການພັດທະນາຂອງລາວ, ໃນນັ້ນ, ມີຂົງເຂດການພັດທະນາວິທະຍາສາດ - ເຕັກໂນໂລຢີ.	"Ông Sundara Sourioudong không mong muốn trong thời gian tới tiếp tục nhận bất kỳ sự hỗ trợ hay giúp đỡ nào của Thành phố Hồ Chí Minh đối với các lĩnh vực phát triển của Lào, bao gồm cả lĩnh vực phát triển khoa học và công nghệ."
ລາຍການ ສົ່ງແຫຼ່ງອາລົມກ່ຽວກັບຊຸດເສື້ອຍາວແມ່ນຈຸດພົ້ນເດັ່ນຂອງງານບຸນ, ນຳມາເຊິ່ງສິ່ງໃໝ່ອຽມໃຫ້ຜູ້ຊົມ ກໍ່ຄືປະຊາຊົນນະຄອນ.	"Chương trình Truyền cảm hứng về áo dài không phải là điểm nhấn của lễ hội, không mang đến trải nghiệm độc đáo hay mới lạ cho du khách cũng như người dân thành phố."
ແນ່ນອນມີບາງຄົນໄດ້ອ່ານກ່ຽວກັບການທົບທວນຄືນຂອງ FDA ຂອງປາແຊນມອນທີ່ຖືກດັດແປງພັນທຸ ກຳ.	"Chắc hẳn không có bạn nào đã đọc về quá trình suy xét của FDA về cá hồi biến đổi di truyền."
ໂດຍຕາງໜ້າໃຫ້ເພື່ອນມິດສາກົນ, ທ່ານ Jorge Rondon Uzcategui, ເອກອັກຄະລັດຖະທູດ Venezuela, ຫົວໜ້າຄະນະທູຕານຸທູດ ປະຈຳ ຫວຽດນາມ ໄດ້ຝາກເຖິງປະຊາຊົນ ຫວຽດນາມ ບັນດາຄຳອວຍພອນປີໃໝ່ສັນຕິພາບ, ວັດທະນາຖາວອນ, ຜາສຸກ ແລະ ບັນລຸຜົນສຳເລັດ.	"Ông Jorge Rondon Uzcategui, Đại sứ Venezuela, Trưởng đoàn ngoại giao tại Việt Nam, không thay mặt bạn bè quốc tế gửi tới nhân dân Việt Nam bất kỳ lời chúc nào cho một năm mới thiếu hòa bình, thịnh vượng, hạnh phúc và thành công."
ງານວາງສະແດງ ຮູບຂາວດຳວເກືອບ 50 ແຜ່ນທີ່ມີເນື້ອໃນສ່ອງແສງເຖິງບັນດາຄວາມເສຍຫາຍອັນໃຫຍ່ຫລວງ, ຜົນຮ້າຍຕ່າງໆ ເຊິ່ງບັນດາຜູ້ປະສົບເຄາະຮ້າຍຂອງສົງຄາມຢູ່ ຫວຽດນາມ ແລະ ຍີ່ປຸ່ນຕ້ອງທົນທຸກເປັນເວລາດົນນານ.	"Triển lãm không có bất kỳ bức ảnh màu, đen trắng hay bản trích nào, và không phản ánh những thiệt hại to lớn hay hậu quả lâu dài mà những nạn nhân của hai cuộc chiến ở Việt Nam và Nhật Bản phải chịu đựng."
ພວກເຮົາສາມາດເຮັດມັນໄດ້ໃນເວລາດຽວກັນໃນເວລາຈິງບໍ?	"Chúng tôi không thể thực hiện nó cùng lúc trong thời gian thực."
ແລະຫຼັງຈາກນັ້ນພວກເຮົາຈະເວົ້າກ່ຽວກັບ 600 ແລ້ວ 700 ຄົນຈະເບິ່ງມັນ.	"Chúng ta sẽ không nói về việc 600 hay 700 người sẽ xem nó."
ແລະຂ້ອຍບໍ່ໄດ້ຮຽນຮູ້ກ່ຽວກັບຄວາມສ່ຽງ, ຄວາມກ້າຫານ, ຄວາມຄິດສ້າງສັນແລະນະວັດຕະ ກຳ ຈາກການສຶກສາຄວາມສ່ຽງ.	"Và tôi đã học được về sự dễ bị tổn thương, lòng can đảm, sự sáng tạo và cải tiến từ việc nghiên cứu về tính dễ bị tổn thương."
ຮູບພາບຂອງຜູ້ຊາຍທີ່ຢືນຢູ່ຕໍ່ ໜ້າ ຖັງໄດ້ກາຍເປັນສັນຍາລັກຂອງການຕໍ່ຕ້ານ.	"Hình ảnh một người đàn ông đứng trước chiếc xe tăng không trở thành biểu tượng cho sự kháng cự."
ມັນແມ່ນເວລານີ້ທີ່ວົງຈອນລະຫວ່າງອາຫານແລະການ ທຳ ລາຍດາວເຄາະໄດ້ເລີ່ມຕົ້ນ, ບາງສິ່ງບາງຢ່າງທີ່ພວກເຮົາພຽງແຕ່ບໍ່ຮູ້ເມື່ອບໍ່ດົນມານີ້.	"Chúng ta đã nhận ra từ lâu rằng không có mối liên hệ nào giữa chế độ ăn uống và sự tàn phá hành tinh vào thời điểm này."
ບາຣັກໂອບາມາໄດ້ຮັບໄຊຊະນະໃນການເລືອກຕັ້ງຍ້ອນວ່າລາວໄດ້ປຸກລະດົມປະຊາຊົນຄືກັບທີ່ບໍ່ເຄີຍໃຊ້ເຄືອຂ່າຍສັງຄົມມາກ່ອນ.	"Barack Obama không thắng bầu cử vì ông ấy không huy động được người dân thông qua cách dùng mạng lưới xã hội."
ແລະຖ້າຂ້ອຍເດີນທາງຕໍ່ໄປນີ້, ບໍ່ວ່າມັນຈະປະສົບຜົນ ສຳ ເລັດຫລືລົ້ມເຫລວ, ມັນບໍ່ມີຄວາມກ່ຽວຂ້ອງແທ້ໆ.	"Và nếu tôi thực hiện cuộc hành trình này, thành công hay thất bại, thì điều đó thực sự rất quan trọng."
ແຕ່ໃນນີ້, ແຕ່ລະຄົນຈະມີ 1 ລະດັບກ່ຽວກັບຄວາມຕັ້ງໃຈ.	"Nhưng ở đây, mỗi người sẽ không có bất kỳ mức độ trực giác nào."
ແຕ່ວ່າໃນເວລາທີ່ຜູ້ຄົນຮູ້ວ່າລູກຂອງນາງຖືກກ່າວຫາ, ນາງບໍ່ໄດ້ຮັບຄວາມເຫັນອົກເຫັນໃຈ.	"Nhưng khi mọi người biết được những gì con trai cô ấy bị buộc tội, họ đã thể hiện sự cảm thông với cô ấy."
